Subject,Question,A,B,D,C,E,I,F
Biology,"In hot summer day, plant cooling is due
to",Loss of water vapours from leaf,Transport of water in plant,Loss of water from entire plant,Loss of liquid water,,,
Biology,The genotype of offspring formed from Tt \( x \) tt will be,\( \pi \) and tt,Tt and tt,only TT,only tt,,,
Biology,"Sea Gulls excrete salts through
A . Liver",,Lungs,Nasal gland,Urine,,,
Biology,Optic thalami are,Optic lobes,Optocoels,None of the above,Lateral walls of diencephalon,,,
Biology,"Describe the role of rods and cones in
visual perception.",,,,,,,
Biology,"Assertion
Ecosystem is the structural and
functional unit of biosphere consisting of abiotic and biotic components which
interact with each other and maintain a
balance in nature.
Reason
In an ecosystem, energy and matter are continuously exchanged between living and non-living components.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect.,Assertion is correct but Reason is incorrect,,,
Biology,"Very short answer type.
Which hormone keeps leaves green for a
longer time?",,,,,,,
Biology,In which of the following processes is acetyl CoA not involved?,Fatty acid breakdown,Embden-Meyerhof pathway,Transamination,Fatty acid synthesis,,,
Biology,"Nucleic acid was first isolated from pus
cells by",Friedrich Miescher,Altmann,Hoffmeister,waldeyer,,,
Biology,"Gram positive bacteria differ from gram negative bacteria in the structure of
their",Nucleoid,Cytoplasm,Ribosomes,Cell wall,,,
Biology,The end product of glycolysis is,Pyruvic acid,Glucose,\( C O_{2} \),Ethyl alcohol,,,
Biology,"Teeth that are different in shape, size and function are called as",Acrodont,Pleurodont,Heterodont,Homodont,,,
Biology,"What are the main functions of a
nucleus?",,,,,,,
Biology,Kingdom Animalia is also known as,Metazoa,Protozoa,None of the above,Both A and B,,,
Biology,"Chymotrypsin is produced by
A . Liver",,Pancreas,Duodenum,stomach,,,
Biology,What is growth curve?,,,,,,,
Biology,"Match the columns and choose the
correct combination",,,,,,,
Biology,Serous glands located on the tongue are,Paratoid gland,Sublingual gland,All of the above,von Ebner's gland,,,
Biology,"Complete the following food chain with
the appropriate component Grass - grasshopper - .......... - snake",,,,,,,
Biology,"No. of meiotic divisions required for the
formation of 200 seeds of Capsella will
be?
A . 200
в. 400",,,300,250,,,
Biology,Passage cells are found in,Epidermis,Endodermis,Lenticels,Pericycle,,,
Biology,"International Code of Botanical
Nomenclature is applicable to",Plants,Animals,All of the above,species,,,
Biology,What is the function of P-protein?,To carry out photosynthesis in leaves,To carry out transport of organic solutes through phloem,The protein of pollen grains,Passive protein present in phaseolus seeds,,,
Biology,"Fermentation is represented by which of
the following equation?
\( \mathbf{A} \cdot \$ \$ \mathrm{C}_{-}\{6\} \mathrm{H}_{-}\{12\} \mathrm{O}_{-}\{6\} \backslash, \) ।rightarrow \( \backslash, 6 \mathrm{CO}_{-}\{2\} \backslash,+_{-} \backslash \)
\( 6 \mathrm{H}_{-}\{2\} 01,+\backslash, 673 \mathrm{K} \backslash, \mathrm{cal} \$ \$ \)",,"\( C_{6} H_{12} O_{6} \rightarrow 2 C_{2} H_{5} O H+2 C O_{2} \)
\( \mathbf{c} \cdot 6 C O_{2}+12 H_{2} O \rightarrow C_{6} H_{12} O_{6}+6 H_{2} O+6 O_{2} \)
\( \mathrm{D} \cdot 6 \mathrm{CO}_{2}+6 \mathrm{H}_{2} \mathrm{O} \frac{\text {light}}{\text {chlorophyll}} C_{6} \mathrm{H}_{12} \mathrm{O}_{6}+6 \mathrm{O}_{2} \)",,,,,
Biology,Root pressure can be measured by,Attaching a barometer to the cut end of the stem,Attaching a manometer to the cut end of the stem,Attaching a potometer to the cut end of the stem.,Attaching a thermometer to the cut end of the stem,,,
Biology,"In an ecosystem, the biotic components herbivores are",Photosynthetic,Chemosynthetic,Microconsumers,Macroconsumers,,,
Biology,"What is Quiescent stage in cell division
\( ? \)",,,,,,,
Biology,"Ozone in stratosphere extends
\( \mathbf{A} \cdot 10-20 \mathrm{km} \)",,20-25km,25-40km,\( 15-30 k m \),,,
Biology,The development of antenna-like structure in place of the eye in lobster is an example of,Compensatory hypertrophy,Heteromorphic regeneration,None of the above,Morphollaxis,,,
Biology,"The wavelength of ultraviolet light absorbed by nucleic acid is
\( A \cdot 26 n m \)",,"75 nm
\( c .260 \mathrm{nm} \)",1500 \( \mathrm{nm} \),,,,
Biology,Excretory products of mammals are useful to plants. Which of the following is not a part of such secretions?,Carbon dioxide,Mineral salts,urea,Bile pigments,,,
Biology,"Phototropism of stem and root are due
to",Differential hormonal effect,Epinasty and hyponasty,Graviperception,Effect of light,,,
Biology,"Select the correct option:
Stomata are distributed more on the
lower surface than on the upper surface in",Equifacial leaf,Bifacial leaf,Both A and B,Unifacial leaf,,,
Biology,"Which of the following action or activity may causes undesirable effect to our
environment?
i) Catching and keeping animals such as bird and cats at home.
ii) Feeding birds such as pigeon and crows in our neighbourhood.
iii) Burning unwanted plastic product in our neighbourhood o reduce non biodegradable rubbish.
iv) Dumping biodegradable refuse such as fruit skins and bones in our sewage
to make the water nutrients rich for
healthy growth of flowering plants.",iii and iv only,ii and iv only,"i, ii, iii and D","ii, iii and daily",,,
Biology,"Which one of the following options
correctly designate the percent contribution of gases \( (A, B, C \text { and } D) \)
responsible of global warming?
\( N_{2} O(6 \%) \)
(2)\( \quad C F C s(20 \%) \quad C O_{2}(14 \%) \quad N_{2} O(6 \%) \) (3) \( N_{2} O(20 \%) \quad C H_{4}(14 \%) \quad C F C s(6 \% \)
(4)
\( C H_{4}(20 \%) \quad N_{2} O(14 \%) \) \( C F C s\left(6^{\circ}\right. \)
\( A \cdot A \)",,"B
\( c \cdot c \)
\( D . D \)",,,,,
Biology,What is the role of light in plants?,It is necessary for photosynthesis.,It controls growth and movement.,All of the above.,It controls the distribution of hormones.,,,
Biology,If the heart sound recording and ECG recordings are superimposed then the first heart sound would occur,At the P wave,Just after the P wave,Just after the QRS complex,Just before the QRS complex,,,
Biology,Short / Long answer type questions. On what basis are fungi classified?,,,,,,,
Biology,"Differentiate between.
Vital capacity and total lung capacity",,,,,,,
Biology,Enzyme helping in oxidative decarboxylation of pyruvic acid is,Pyruvate kinase,Pyruvic dehydrogenase,succinic dehydrogenase,Malate dehydrogenase,,,
Biology,Which of the following is not a naturally occurring plant hormone?,"\( 2,4- \) D",GAz,IAA,Gibberellin,,,
Biology,"Botanical gardens are living herbaria?
Comment.",,,,,,,
Biology,"Who first indicated that water is
electron donor in photosynthesis?",Arnon,Calvin,Van Niel.,Blakeslee,,,
Biology,"Animal of which phylum have hooks and
suckers and are endoparasite on other animals?",Platyhelminthes,Annelida,Arthropoda,Ascheminthes,,,
Biology,"Change in colour of algae, according to depth in sea is called as",Bohr's effect,Gaudikov's effect,Pasteur's effect,Fogg's effect,,,
Biology,"Out of the seven characters of pea
studied by Mendel,gens for three were situated on chromosome number four
(flower position,pod shape and plant height.) Suppose if they were closely situated and were linked then which of
the following rule would not have been discovered or explained Mendel?",Law of dominance,Law of seggregation,Law of purity of gametes,Law of independent assortment,,,
Biology,Spiracles of cockroach which are larger and always kept open are,First and second pairs,First and third pairss,Second and third pairs,First and tenth pairs,,,
Biology,Which of the following term can be related to the opening of guard cell?,Turgidity,Flaccidity,None of the above,Transpiration,,,
Biology,Cells of quiescent centre are characterized by,Dense cytoplasm and prominent nuclei,Light cytoplasm and small nuclei,Dividing regularly to add to tunica,Dividing regularly to add to the corpus,,,
Biology,Which of the following bones form a link between axial and appendicular skeleton?,First rib,Clavicle,Both (a) and (b),Scapula,,,
Biology,"Pneumatophores take part in, which of the following functions?",Excretion,Feeding,Reproduction,Respiration,,,
Biology,Which one is not produced by basophils of pituitary?,"Prolactin
в. TSH",,LH,FSH,,,
Biology,"Read the following table and answer the
following questions.
sı. Structure Location
No.
1
Tricuspid Right auriculoriculo-
lar aperture valve
2
Guard cells \( \quad \) Epidermis of leaves
3. Glomerulus Nephron
4. Alveoli
5
Acrosome Above the head of a
sperm
Name the part performing Excretion.",,,,,,,
Biology,"Describe Kreb's cycle. (Flow chart or
Explanation)",,,,,,,
Biology,"What are meristmatic and permanent
tissue?",,,,,,,
Biology,Which of the following sets belongs to the same class of algae?,"Chara, Fucus, Polysiphonia","Volvox, Spirogyra, Chlamydomonas","Sargassum, Laminaria, Gracilaria","Porphyra, Ectocarpus, Ulothrix",,,
Biology,"Observe the reflex arc pathway shown in
the flow the chart given below. Which of
the following is represented by \( X \) and \( Y ? \)
\begin{tabular}{|l|l|}
\hline \multicolumn{2}{|l|} {\multirow{2}{*} { Hot plate \( \rightarrow \) Receptors }\text { Hot plate } \rightarrow \text { Receptors }} \\
\cline { 2 - 3 } & \\
\hline Response & Effectors \\
\hline
\end{tabular}","\( x \) - Brain, Y - Sensory neuron","X - Spinal cord, Y - Motor neuron","\( x \) - sensory neuron, Y - spinal cord","\( x \) - Brain, \( Y \) - Motor neuron",,,
Biology,"Why it is said that evolution is a
progressive development of plants and animals.",,,,,,,
Biology,llium is a term applied to structure like,Part of the small intestine,Part of the pelvic girdle,A particular region of pulmonary tract,Pectoral girdle,,,
Biology,Pituitary gland of adult rat is surgically removed. Which of the following endocrine glands will be less affected?,Thyroid,Gonads,Adrenal medulla,Adrenal cortex,,,
Biology,"Assertion
Coordination is the process through which two or more organs interact and complement the functions of one
another
Reason
In our body the neural system and the endocrine system jointly coordinate all the activities of the organs",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,Which features adapt polar bears to live in extremely cold climate?,"A white fur, fat below skin, keen sense of smell","Thin skin, large eyes, a white fur","White body, paws of swimming, gills for respiration","A long tail, strong claws, white large paws",,,
Biology,Ecosystems may be defined as,A species along with environment,Plant found in water,All plants and animal species along with environment,Plants found on land,,,
Biology,"In the above diagram, the teeth marked
B represent",Incisors,Canines,,"Molars
Dremolars",,,
Biology,Which is wrong,Presence of albumin in urine is albuminaria,Presence of glucose in urine is glycosuria,Presence of excess urea in blood is uremia,Presence of ketose sugar in urine is ketonuria,Presence of haemoglobin in nature haemoglobinuria,,
Biology,In Balanoglossus,Sexes are united and fertilization is external,Sexes are separate and fertilization is external,Sexes are united and fertilization is internal,Sexes are separate and fertilization is internal,,,
Biology,Name the enzyme which possibly acts as an ion carrier.,,,,,,,
Biology,"Seeds of gymnosperms have three
generations, that is",Two sporophytic and one gametophytic generation,Two gametophytic and one sporophytic,All three gametophytic generations,All three sporophytic generations,,,
Biology,"Parkinsonia and Australian Acacia are
example of",Phylloclade,Winged fruit,Phyllode,Parachute mechanism,,,
Biology,"Choose the correct answer from the
alternatives given By anticlinal divisions, an organ increases in:",circumference,volume,length,area,,,
Biology,"ATP-ADP system was discovered in
A . 1940",,"1944
\( c \cdot 1943 \)",1840,,,,
Biology,Human population is directly affected by which of the following?,Availability of medical facilities,Standard of living,All of the above,Availability of food and shelter,,,
Biology,"When a photosynthetic plant is transferred to an atmosphere of
enriched \( O_{2} \) its rate of",Photosynthesis would increase.,Photosynthesis would decrease.,osmosis would increase.,Respiration would decrease.,,,
